|User|Date Created|Number of Likes|Source of Tweet|Tweet|gender|text_clean
0|luzjttko|2022-07-05 23:59:59+00:00|0|Twitter Web App|"Le pasa que esta echo un progre! Y por ser sumiso de la mujer psiquiátrica que tiene.
Vegana, abortara globalista hdp https://t.co/YpCgv84RFv"|female|pasa echo progre ser sumiso mujer psiquiátrica vegana abortara globalista hdp
1|Azotepigs|2022-07-05 23:59:57+00:00|4|Twitter for Android|@maleva_yina @Vitaadara @carlos_sobera También es real que han sacado un video en el que el xenofobo, homófobo, misogino de cocamoros llama a una mujer put4 sin parar Y EL IMPRESENTABLE PROGRAMA CON @carlos_sobera al frente NO REPROCHA NADA!!! ASCO!!!!|female|yina sobera real sacado video xenofobo homófobo misogino cocamoros llama mujer put4 parar impresentable programa sobera frente reprocha asco
2|nwathaniel|2022-07-05 23:59:57+00:00|0|Twitter for Android|soy solo una mujer con 12 pestañas de ao3 abiertas|female|solo mujer 12 pestañas ao3 abiertas
3|LaChicaArdilla2|2022-07-05 23:59:54+00:00|17|Twitter for Android|"""Si un hombre golpea a una mujer esta mal. A menos que el hombre sea judío, entonces está bien.""

Atte. Europa. https://t.co/FwPuvc1UTo"|female|si hombre golpea mujer mal menos hombre judío entonces bien atte europa
4|Pinocchio123456|2022-07-05 23:59:50+00:00|0|Twitter for iPad|@DaniWolv Qué belleza de mujer.|female|belleza mujer
5|Daniellex1012|2022-07-05 23:59:50+00:00|4|Twitter for Android|"@atusaludenlinea Hombre Bicentenario
Yo antes de ti
No se aceptan devoluciones
Bajo la misma estrella
Azul y no tan Rosa
Inteligencia Artificial
Ghost 
Mujer Bonita... Y pare usted de contar."|female|hombre bicentenario aceptan devoluciones bajo misma estrella azul tan rosa inteligencia artificial ghost mujer bonita pare usted contar
6|Quintopoder10|2022-07-05 23:59:46+00:00|0|Twitter for iPhone|@NormaYarrow4 Y lo hizo una mujer. plop!!!|female|hizo mujer plop
7|ElCiudaArg|2022-07-05 23:59:45+00:00|2|Twitter for Android|"Nos alegra un montón tener a Elizabeth Duval en el estudio para hablar de lo que significa y supone ser una mujer trans.
https://t.co/VcGZBe2nB3"|female|alegra montón tener elizabeth duval estudio hablar significa supone ser mujer trans
8|TuruCentral|2022-07-05 23:59:45+00:00|1|Twitter for Android|@LeonMontiveroRC @MarceloCJMM grita los goles como mujer|female|grita goles mujer
9|maqui_rluna|2022-07-05 23:59:44+00:00|2|Twitter for Android|@NormaYarrow4 Tanto nos ha costado a las mujeres conseguir conseguir nuestros derechos como para que vengan a hacer estas tonterías. Si quieren creen un nuevo ministerio para las familias, pero al Ministerio de la Mujer no lo toquen.|female|costado mujeres conseguir conseguir derechos vengan hacer tonterías si quieren creen nuevo ministerio familias ministerio mujer toquen
10|TdiColombia|2022-07-05 23:59:41+00:00|0|WordPress.com|Sospechoso se habría vestido de mujer https://t.co/FYi4WYbFtt|female|sospechoso vestido mujer
11|Olgamorel19|2022-07-05 23:59:34+00:00|1|Twitter for iPhone|@KingLibraLeo @Mujer_DOM @ListinDiario https://t.co/782rR3VoYB|female|dom
12|carloso62354835|2022-07-05 23:59:32+00:00|2|Twitter for Android|@chech0batista @mariuvidal vidal es de centro izquierda, y eso que estoy exagerando. Esta a 2 clases de filosofia de ser marxista esta mujer|female|vidal centro izquierda exagerando 2 clases filosofia ser marxista mujer
13|BRCHARMD|2022-07-05 23:59:31+00:00|0|Twitter for Android|No pensó que le fuera a permitir llegar más lejos, en especial porque anteriormente parecía haber querido escapar de sus manos, qué curioso. De todos modos, no sería quién lo detuviera pues, como ya ha nombrado, esa mujer llamaba su atención desde el primer momento en que » https://t.co/dT73Vs8HxX|female|pensó permitir llegar lejos especial anteriormente parecía haber querido escapar manos curioso modos quién detuviera pues nombrado mujer llamaba atención primer momento
14|Leeogonzalezz|2022-07-05 23:59:30+00:00|0|Twitter for Android|mujer de mi vida|female|mujer vida
15|exitosape|2022-07-05 23:59:30+00:00|19|Twitter Web App|"🔵🔴El Ministerio de la Mujer y Poblaciones Vulnerables (MIMP) no respalda el cambio de nombre a Ministerio de la Familia y Poblaciones Vulnerables. ""El Dictamen aprobado atenta contra los derechos de las mujeres"", señaló.

https://t.co/lH2B8WqP3E"|female|ministerio mujer poblaciones vulnerables mimp respalda cambio nombre ministerio familia poblaciones vulnerables dictamen aprobado atenta derechos mujeres señaló
16|Critianbeltranb|2022-07-05 23:59:30+00:00|0|Twitter for Android|@Sofiaariza01 @praskauer @JAlejandro7 @_kmkc_ @TransMKdPueblo @ValentinaAB10 @xdiosara A usted lo que le molesta es que le haga caer en cuenta que las mujeres también delinquen (Y eso es por parejo indistintamente si se es hombre o mujer) y le molesta porque eso rompe el credo bíblico del culto feminista; el dogma de qué las mujeres son arcángeles santurronas.|female|kmkc usted molesta haga caer cuenta mujeres delinquen parejo indistintamente si hombre mujer molesta rompe credo bíblico culto feminista dogma mujeres arcángeles santurronas
17|yazmiinaleeja|2022-07-05 23:59:30+00:00|0|Twitter for Android|Horror, en serio. Horror, ver hasta donde llega una mujer por querer tener pareja. El wey es super egocéntrico, se cree la última Coca cola en el desierto y a Ella se le olvida su valor.|female|horror serio horror ver llega mujer querer tener pareja wey super egocéntrico cree última coca cola desierto olvida valor
18|Msandovalmid|2022-07-05 23:59:29+00:00|0|Twitter for Android|@EVIDEGARAY @SofiaRiveraT Haz lo que tengas que hacer con ella y luego consigue una mujer para formar una familia con valores y sentar ya cabeza, ya estás 🥚'n|female|haz hacer luego consigue mujer formar familia valores sentar cabeza n
19|JavierSalcedo98|2022-07-05 23:59:29+00:00|95|Twitter for iPhone|Una mujer bonita no está para andar con cualquier pirobo inseguro.|female|mujer bonita andar cualquier pirobo inseguro
20|polinayaso|2022-07-05 23:59:25+00:00|0|Twitter for Android|@follambula La forma en que la mujer asustó al doablo|female|forma mujer asustó doablo
21|Lucas3Llorca|2022-07-05 23:59:22+00:00|0|Twitter for Android|Era la mujer de mis sueños...|female|mujer sueños
22|fio_vittori|2022-07-05 23:59:21+00:00|1|Twitter Web App|Mi mamá? La mujer más fuerte que conozco 💖|female|mamá mujer fuerte conozco
23|auraestherherna|2022-07-05 23:59:20+00:00|0|Twitter for Android|@atusaludenlinea mujer bonita|female|mujer bonita
24|helldavis666|2022-07-05 23:59:17+00:00|7|Twitter for iPhone|@RicardoMoran Una mujer q recibe un pago por dar q Luz a un hijo de otra pareja es la madre biológica aunque te joda, cómo debe sentirse tú madre, debe ser q si te la impusieron.|female|mujer q recibe pago dar q luz hijo pareja madre biológica aunque joda cómo debe sentirse madre debe ser q si impusieron
25|patalind|2022-07-05 23:59:17+00:00|0|Twitter for Android|@FerIglesias De donde saca la información esta mujer????|female|saca información mujer
26|BraulitoLP|2022-07-05 23:59:14+00:00|5|Twitter for Android|@Antdr3545200 @sofisholland Jajaja insulto, no mucho igual, y obviamente no lo hice porque es mujer, pero ya me esperaba esa respuesta de la mina|female|jajaja insulto igual obviamente hice mujer esperaba respuesta mina
27|eaaenamorado|2022-07-05 23:59:13+00:00|0|Twitter for Android|Ojalá cuando yo me casé no me toque una mujer que todos los días me pida dinero, que sepa administrar almenos.|female|ojalá casé toque mujer días pida dinero sepa administrar almenos
28|joshemaxr|2022-07-05 23:59:13+00:00|0|Twitter for iPhone|@DiazCanelB @Ana_Hurtado86 A los hp comunistas, mentirosos, y descarados Dios los cría y el diablo los ajunta. Triste ver al presidente de un país manifestándose acerca de una mujer de baja calaña cómo está sátrapa española.|female|hurtado86 hp comunistas mentirosos descarados dios cría diablo ajunta triste ver presidente país manifestándose acerca mujer baja calaña cómo sátrapa española
29|MatyMomos|2022-07-05 23:59:13+00:00|1|Twitter for Android|@investigamiste1 XDD igual aveses me salen señores como de 60 años buscando mujer cachonda que le guste el coito bien salvaje|female|xdd igual aveses salen señores 60 años buscando mujer cachonda guste coito bien salvaje
30|Crishusanj|2022-07-05 23:59:10+00:00|1|Twitter for Android|@sweetnnadine Por Dios, que dura sos mujer|female|dios dura sos mujer
31|SuckMyBalls21|2022-07-05 23:59:10+00:00|0|Twitter for Android|@GioAndres15 @LVikac Coma mierda  cabeza de transformador de electricarive que se pone la ropa de la mujer pa ir al gimnasio|female|coma mierda cabeza transformador electricarive pone ropa mujer pa ir gimnasio
32|Antocemon|2022-07-05 23:59:08+00:00|0|Twitter for iPhone|Como quitarte de encima a una mujer que no te gusta Vol.1 by Danilo Gallinari. 🐔 💩 https://t.co/tXpDHyPrUi|female|quitarte encima mujer gusta vol 1 by danilo gallinari
33|Estefficuello|2022-07-05 23:59:07+00:00|1|Twitter for Android|Solo por el echo de que sea mujer tengo que cocinar???jajaja si si ahí te cocino, espera sentado nomasss|female|solo echo mujer cocinar jajaja si si ahí cocino espera sentado nomasss
34|Sabeito|2022-07-05 23:59:06+00:00|0|Twitter for Android|@TutoyCarola @chocoblue31 @Mujer_DOM @ListinDiario @DiarioLibre @Diariodigitaldo Gracias por la aclaracion|female|dom gracias aclaracion
35|PepeMCNuggets|2022-07-05 23:59:06+00:00|1|Twitter Web App|"Tengo mis motivos 100% justificados para estar obsesionado con estos...

Do it @Basyleuss @thekingofwest1 
(Solo hay 1 mujer canónica en este grupo) https://t.co/pmdRzsCMDo https://t.co/XFwppjXfaf"|female|motivos 100 justificados obsesionado do it solo 1 mujer canónica grupo
36|ChristianMarioH|2022-07-05 23:59:05+00:00|1|Twitter for iPhone|"@suuu2712 @Jero20033756 @frankha0123456 Los lacasitos que se toman ellos para sacar mentiras como la del As, los archivadores vacíos y +
No te da vergüenza defender un tío que engaña hasta a su mujer con otra? 😂

#APOYOROCIO6J https://t.co/527dT8df9y"|female|lacasitos toman sacar mentiras as archivadores vacíos da vergüenza defender tío engaña mujer apoyorocio6j
37|Noche_De_Cine|2022-07-05 23:59:04+00:00|0|Twitter Web App|"#Recomendado 🟢
""La trinchera infinita"" (2019) 🇪🇸🇫🇷 - Garaño/Arregi/Goenaga

Cuando estalla la Guerra Civil, la vida de Higinio pasa a estar amenazada. Con ayuda de su mujer, decidirá utilizar un agujero cavado en su propia casa como escondite provisional 

⭐⭐⭐⭐⭐⭐⭐✩✩✩ https://t.co/QV7CRtvFKo"|female|recomendado trinchera infinita 2019 garaño arregi goenaga estalla guerra civil vida higinio pasa amenazada ayuda mujer decidirá utilizar agujero cavado propia casa escondite provisional
38|ESMGYN|2022-07-05 23:59:03+00:00|0|Twitter for Android|@mileniotv @magdalgonzalez Magda González la buena información siempre contigo, eres la mejor. Magda González eres la mujer más bonita, sensual y sexy del universo😗😗😗😗😗😗😗😗😗😗😗|female|magda gonzález buena información siempre contigo mejor magda gonzález mujer bonita sensual sexy universo
39|GomezFJ|2022-07-05 23:59:01+00:00|0|Twitter Web App|UNA MUJER DECLARA HABER SIDO VIOLADA VIRTUALMENTE EN EL METAVERSO - ¿Abs... https://t.co/WbX1sMFpcY via @YouTube|female|mujer declara haber sido violada virtualmente metaverso abs via
40|_Caleidooscopio|2022-07-05 23:59:00+00:00|1|Twitter for Android|No seas la mujer del proceso|female|mujer proceso
41|NadiaDazalmona1|2022-07-05 23:59:00+00:00|3|Twitter Web App|@camila_vallejo #PostnatalDeEmergencia donde esta el respaldo de este proyecto de mujer a mujer y madre que trabaja.|female|vallejo postnataldeemergencia respaldo proyecto mujer mujer madre trabaja
42|pinkcoer|2022-07-05 23:58:58+00:00|0|Twitter Web App|chicos que mujer hermosa valentina zenere|female|chicos mujer hermosa valentina zenere
43|cgomezjudicial|2022-07-05 23:58:55+00:00|0|Twitter for Android|Nuevo jalón de orejas de corte a fondos de pensiones por no reconocer semanas a mujer con cáncer https://t.co/LYLuNlcGPQ|female|nuevo jalón orejas corte fondos pensiones reconocer semanas mujer cáncer
44|alexteacher2903|2022-07-05 23:58:52+00:00|0|Twitter for Android|@elchiringuitotv @lobo_carrasco Se va a divorciar de su mujer porque se quiere casar con el maniquí de messi que usó laporta|female|carrasco va divorciar mujer quiere casar maniquí messi usó laporta
45|eduarregui|2022-07-05 23:58:48+00:00|0|Twitter for iPhone|@maca_online Que cagante es escuchar al pelón misógino defendiendo a un depredador!!! ¿Como se atreve a opinar? No es mujer, no sabe lo que se siente!!!!|female|online cagante escuchar pelón misógino defendiendo depredador atreve opinar mujer sabe
46|KingLibraLeo|2022-07-05 23:58:47+00:00|0|Twitter for Android|@Altagraciaesp17 @Mujer_DOM @ListinDiario 100% Domincanos.|female|dom 100 domincanos
47|ecofemrad|2022-07-05 23:58:41+00:00|5|Twitter for iPhone|"No importa que Macy Gray haya dicho también que -a pesar de saber que hacerte cirugías y quitarte/cambiarte partes no te convierte en mujer- si quieres que te hable por tus pronombres preferidos, lo hará. 
Ya salieron perfiles con miles de seguidores a decirle tr*foba. https://t.co/EeIudHvfJb"|female|importa macy gray dicho pesar saber hacerte cirugías quitarte cambiarte partes convierte mujer si quieres hable pronombres preferidos hará salieron perfiles miles seguidores decirle tr foba
48|alonso_saldana|2022-07-05 23:58:34+00:00|3|Twitter for Android|@proceso Ella y sus webotes dicen que es mujer|female|webotes dicen mujer
49|thinkermagmily|2022-07-05 23:58:33+00:00|960|Twitter for Android|#EMILYMALHORE: “No te equivoques conmigo, puedo ser una mujer dulce y paciente pero eso no significa que sea sumisa y abnegada.” https://t.co/QquREMjjzH|female|emilymalhore equivoques conmigo puedo ser mujer dulce paciente significa sumisa abnegada
50|invasor_greg|2022-07-05 23:58:33+00:00|4|Twitter for Android|@GabyMeza8 Da igual ya públicamente está destrozada y perdió la confianza de la gente que no por ser mujer siempre será la víctima, como se dice patadas de ahogado debería tener un poco de dignidad, es más no se ni porque aún hablan de ella|female|da igual públicamente destrozada perdió confianza gente ser mujer siempre víctima dice patadas ahogado debería tener dignidad aún hablan
51|R_G_Pa|2022-07-05 23:58:33+00:00|0|Twitter for Android|@MimpPeru ¿Existe el ministerio de la mujer? 🤔|female|existe ministerio mujer
52|NoticiaCongreso|2022-07-05 23:58:33+00:00|13|Twitter Web App|"#TomaNota 📝 | La #ComisiónPermanente invita a la presentación de la ""Agenda legislativa para la prevención de la #Violencia contra la mujer y el #Feminicidio"".
📅 6 de julio
⏰ 11:00 hrs

📌 Al evento asistirán @M_OlgaSCordero, @Sergeluna_S  y el ministro @ArturoZaldivarL 👇 https://t.co/SKVjXtoqpe"|female|tomanota comisiónpermanente invita presentación agenda legislativa prevención violencia mujer feminicidio 6 julio 11 00 hrs evento asistirán olgascordero s ministro
53|dhercasm|2022-07-05 23:58:27+00:00|3|Twitter for Android|@Erick95278509 @aqoursuk @EntFronk @seokcyrus La ginia es mujer, misoginia es odio a las mujeres, entonces sería mishetero o alguna ridiculez que se inventen las tijeras para sentirse especiales.|female|ginia mujer misoginia odio mujeres entonces mishetero alguna ridiculez inventen tijeras sentirse especiales
54|KingLibraLeo|2022-07-05 23:58:27+00:00|0|Twitter for Android|@Olgamorel19 @Mujer_DOM @ListinDiario 😂 cómo Alex Rodríguez 😂|female|dom cómo alex rodríguez
55|johanrockjas|2022-07-05 23:58:25+00:00|0|Twitter for Android|@MaFeyCami2012 Que mujer más bella ..muy elegante muy femenina😍😍😍😍😍|female|mujer bella elegante femenina
56|LisaFlorencia1|2022-07-05 23:58:24+00:00|0|Twitter for Android|Estoy escuchando relatar a una mujer el partido de unión y nacional. Callenla porfa que no grite más el gol|female|escuchando relatar mujer partido unión nacional callenla porfa grite gol
57|RosaDurn16|2022-07-05 23:58:23+00:00|0|Twitter Web App|@Radio_Formula Serán unas elecciones en dónde una mujer sera la mejor líder que podamos tener, muchas felicidades por todo|female|formula unas elecciones dónde mujer sera mejor líder podamos tener muchas felicidades
58|DiarioTAG|2022-07-05 23:58:23+00:00|0|Twitter Web App|"#Robo    
#Detenida      

➡La mujer fue detenida sobre la Avenida Rodríguez Peña.

https://t.co/sp1O7P7ztO"|female|robo detenida mujer detenida avenida rodríguez peña
59|monse_hp|2022-07-05 23:58:23+00:00|0|Twitter for iPhone|@aleexisvh Soy una mujer que me da vergüenza|female|mujer da vergüenza
60|PAOLOELROCKER0|2022-07-05 23:58:21+00:00|5|Twitter for iPhone|Que te hicieron @ESPNFutbolArg ? Imposible ver un partido relatado por una mujer, obligan a cambiar de canal.|female|hicieron imposible ver partido relatado mujer obligan cambiar canal
61|rigail_romero|2022-07-05 23:58:20+00:00|6|Twitter for iPhone|Por más viejas como @CeciliaLopezM mi admiración y respeto total a una mujer que fácilmente podría ser presidente|female|viejas admiración respeto total mujer fácilmente podría ser presidente
62|Pinymartinez20|2022-07-05 23:58:16+00:00|0|Twitter for Android|Pobre union encima que lo relatan 2 mujeres los golean,si edul cuenta como mujer.|female|pobre union encima relatan 2 mujeres golean si edul cuenta mujer
63|shufflobot|2022-07-05 23:58:14+00:00|0|spotishare2|"Los Diablitos - Mi Novia Mujer
https://t.co/afvYoMx00C"|female|diablitos novia mujer
64|mundoescazu|2022-07-05 23:58:12+00:00|1|Twitter for Android|Reconoce a este par de delincuentes asaltaron a una mujer en Avenida Central, detalles en https://t.co/jZ9Av2chWM https://t.co/6nPpIkQmYU|female|reconoce par delincuentes asaltaron mujer avenida central detalles
65|RenCompay_INS|2022-07-05 23:58:12+00:00|1|Twitter for Android|Ahora sí puedo decir qué mi mujer me protege (?|female|ahora puedo decir mujer protege
66|TanaBorsottob|2022-07-05 23:58:11+00:00|2|Twitter for Android|@javiparada Felicitaciones, eres una mujer valiente|female|felicitaciones mujer valiente
67|Jpiter838347231|2022-07-05 23:58:10+00:00|5|Twitter for Android|@albertocarusods @desayunos12 @CuatrodeJulia Amigo, está en su derecho a no gustarle. No tengo ninguna duda que usted será un gran catador de alfajores industriales.  Todos estos miles de aduladores apoyamos a una mujer luchadora y emprendedora así que sigua su camino y compre Punta Ballena|female|amigo derecho gustarle ninguna duda usted gran catador alfajores industriales miles aduladores apoyamos mujer luchadora emprendedora así sigua camino compre punta ballena
68|Domingo85533744|2022-07-05 23:58:09+00:00|0|Twitter for Android|@davidlantigua01 No eran conforme con ser hombre o mujer y deciden ser gay, luego no estan conforme con ser gay, ¿ya van por 33 mutaciones?|female|conforme ser hombre mujer deciden ser gay luego estan conforme ser gay van 33 mutaciones
69|salsamexico|2022-07-05 23:58:06+00:00|0|SAM Broadcaster Song Info|Tito Rodriguez Jr. - Mujer Erotica en https://t.co/GvbxbwbahT #salsamexico #salsaparatodos|female|tito rodriguez jr mujer erotica salsamexico salsaparatodos
70|Alberto1973A|2022-07-05 23:58:04+00:00|1|Twitter for Android|@CandyStephanya @OlimpoDeDiosass Oye muñequita cuida esas cositas como que las tienes un poquito maltratada dale amor a tu cuerpo mujer|female|oye muñequita cuida cositas poquito maltratada dale amor cuerpo mujer
71|mozzaretilin|2022-07-05 23:58:03+00:00|0|Twitter for Android|"@AnadelayPerez @Antonio_Sirpix @eldiariodedross Nunca vi a una mujer decir ""Tu tío está detrás de ti"""|female|sirpix nunca vi mujer decir tío detrás
72|SERGIOL98534191|2022-07-05 23:57:53+00:00|0|Twitter for Android|@baby_april25 Q chulada de mujer estás muy ermosa q siera Hestar atulado por q tu si eres una toda mujer|female|april25 q chulada mujer ermosa q siera hestar atulado q si toda mujer
73|blaucatan|2022-07-05 23:57:53+00:00|0|Twitter for Android|@df_mendivelso10 @Lauraagomezc Sí, y de hecho creo que a diferencia de lo que dice @Lauraagomezc la crítica no va por ser mujer ni tampoco es del patriarcado. La crítica va a como persona pública, fuese mujer o hombre.|female|mendivelso10 hecho creo diferencia dice crítica va ser mujer tampoco patriarcado crítica va persona pública mujer hombre
74|Garambaina33|2022-07-05 23:57:49+00:00|1|Twitter for Android|@lacuarta @DraMLCordero que mujer más detestable, como muchos fachos con este perfil tan indolente, prepotente, sin empatia, irrespetuosa y casi psicopática.|female|mujer detestable fachos perfil tan indolente prepotente empatia irrespetuosa casi psicopática
75|EleazarChacon2|2022-07-05 23:57:47+00:00|1|Twitter for Android|@CarlaMorotoli ¿Disfraz para despistar o se siente mujer en cuerpo de hombre?|female|disfraz despistar mujer cuerpo hombre
76|ireneroust|2022-07-05 23:57:46+00:00|1|Twitter Web App|"sin fin del mundo
un sollozo 
unas lentas lágrimas hacia el horizonte de encierro
de cadenas de mujeres que llegaron  y partieron 
sin pena ni gloria
Dibujé una mujer en mis recuerdos
sin muñecas ni espejos"|female|fin mundo sollozo unas lentas lágrimas hacia horizonte encierro cadenas mujeres llegaron partieron pena gloria dibujé mujer recuerdos muñecas espejos
77|Dianablancaspao|2022-07-05 23:57:46+00:00|0|Twitter for Android|Una mujer más recibiendo este bueno apoyo 👏🏼👏🏼 https://t.co/dsmI1obVl2|female|mujer recibiendo bueno apoyo
78|Vaquita4F|2022-07-05 23:57:41+00:00|8|Twitter for Android|"Por ahí andan unos reclamando sus derechos. 
Bueno está bien! 
Mujer que no sople flauta puede ir presa. 

He dicho"|female|ahí andan reclamando derechos bueno bien mujer sople flauta puede ir presa dicho
79|ombreaguila|2022-07-05 23:57:39+00:00|0|Twitter for Android|"@mons_ep @aciprensa @Card_R_Sarah @WSanchezSilva ¿""Adoración"" a la ""Pachamama""?
Sal de tu ignorancia:
En el Sinodo de la Amazonia no hubo adoración, y esa imagen no es de la Pachamama, los indígenas no tienen figuras de esa deidad, para ellos es la Naturaleza, no una mujer.

De su ""reiterado"" discurso ¿puedes darme la fuente?"|female|ep rsarah adoración pachamama sal ignorancia sinodo amazonia adoración imagen pachamama indígenas figuras deidad naturaleza mujer reiterado discurso puedes darme fuente
80|guerradetronos2|2022-07-05 23:57:37+00:00|10|Twitter Web App|@Marlen02778897 CLARISIMA.....no hay  mas inseguridad  en  un hombre  que  estar  con  una  mujer  segura  de  si  misma....les  tiembla  el  piso  con eso....💕🤗🙏...pero  creo  que  no  es  cuestion  de  edad es  de  AMOR PROPIO..|female|clarisima mas inseguridad hombre mujer segura si misma tiembla piso creo cuestion edad amor propio
81|lalisgod|2022-07-05 23:57:36+00:00|0|Twitter for Android|yo a los 35 pretendo empezar la transición yo no voy a ser un viejo trolo prefiero ser una mujer trans vieja|female|35 pretendo empezar transición voy ser viejo trolo prefiero ser mujer trans vieja
82|mike_cullenboy|2022-07-05 23:57:36+00:00|2|Twitter for iPhone|cada vez que asesisan una mujer se me estruja el corazon😭😢😞🥺, harto de esta mierda de sociedad machista...|female|cada vez asesisan mujer estruja corazon harto mierda sociedad machista
83|Abegolo1|2022-07-05 23:57:36+00:00|2|Twitter for Android|Soy honesto, lo primero que observo a una mujer ,son las tetas y la cola https://t.co/BwohTMz7t5|female|honesto primero observo mujer tetas cola
84|JaxTell81134502|2022-07-05 23:57:35+00:00|0|Twitter for iPhone|@VOX_Congreso @rchamode @sanchezdelreal Yo voy a tener que cerrar mi negocio x la presión d @vox_centro @javierortegasmith x votar 1ley d @manuelacarmenac contra los apartamentos vacacionales,mi mujer se queda sin trabajo,1hijo en camino ese es el futuro q me ha proporcionado confiar en vox desde 2015 @madridparatodxs|female|congreso voy tener cerrar negocio x presión d centro x votar 1ley d apartamentos vacacionales mujer queda trabajo 1hijo camino futuro q proporcionado confiar vox 2015
85|Luzmrp01|2022-07-05 23:57:35+00:00|1240|Twitter for Android|Yuri toda orgullosa de su mujer https://t.co/KricWOFyBq|female|yuri toda orgullosa mujer
86|KaneKira3D|2022-07-05 23:57:34+00:00|0|Twitter for Android|¿De verdad nadie puede imputar a esta mujer? Porque tener tanta cara debería ser delito... https://t.co/nYnR2kejY1|female|verdad nadie puede imputar mujer tener tanta cara debería ser delito
87|Azulessss|2022-07-05 23:57:34+00:00|2|Twitter Web App|"""Cuan cómodo es compartir el espacio con otra mujer.""
Paula, Isabel Allende"|female|cuan cómodo compartir espacio mujer paula isabel allende
88|Foro_TV|2022-07-05 23:57:33+00:00|16|Anvato Live Cloud|"Un ataque armado dejó un saldo de dos hombres muertos y una mujer herida en el mercado de Ocotito, en Chilpancingo, Guerrero. #LasNoticiasDeFOROtv con @mariaanahc | #SiempreEnVivo | #SiempreContigo https://t.co/LtxkXs0ikJ"|female|ataque armado dejó saldo dos hombres muertos mujer herida mercado ocotito chilpancingo guerrero lasnoticiasdeforotv siempreenvivo siemprecontigo
89|camilomedellin6|2022-07-05 23:57:32+00:00|0|Twitter for Android|"@Militza04 A todos 

Mujer,

A todos."|female|mujer
90|ConexionVida_pe|2022-07-05 23:57:32+00:00|3|Twitter Web App|"#ALARMANTE
Comisición de Descentralización, presidida por la congresista Norma Yarow, aprueba por unanimidad el Proyecto de Ley que pretende cambiar el nombre del Ministerio de la Mujer y poblaciones vulnerables @MimpPeru por el de ""Ministerio de la Familia"". @promsex @DemusPeru https://t.co/72HoihIalf"|female|alarmante comisición descentralización presidida congresista norma yarow aprueba unanimidad proyecto ley pretende cambiar nombre ministerio mujer poblaciones vulnerables ministerio familia
91|emelexista71|2022-07-05 23:57:31+00:00|2|Twitter for Android|Yo del suegro de Guevara le quito a la mujer por hacer quedar mal a la familia....|female|suegro guevara quito mujer hacer quedar mal familia
92|RamiroElmasTrol|2022-07-05 23:57:31+00:00|1|Twitter for Android|@Seba_Alde Lo única cosa que me regaló una mujer en mi vida fue una patada en los huevos|female|alde única cosa regaló mujer vida patada huevos
93|RoValore|2022-07-05 23:57:29+00:00|1|Twitter for Android|"Lo que necesitaba hablar con Mica y decirle ""Lo logré"", solo eso. 
La paz que me da esa mujer"|female|necesitaba hablar mica decirle logré solo paz da mujer
94|EdgarMendozaRam|2022-07-05 23:57:20+00:00|0|Twitter for iPhone|@isidrocorro @SSC_CDMX Solo faltó una putiza a la mujer, y que mejor que se la hubieran propinado mujeres para que no se escude que un cabrón la madreó.|female|cdmx solo faltó putiza mujer mejor propinado mujeres escude cabrón madreó
95|IvanRogerFan|2022-07-05 23:57:18+00:00|0|Twitter for iPhone|Jaja que se is de mujer 😍 https://t.co/1euZ0pyYRt|female|jaja is mujer
96|lili04795337|2022-07-05 23:57:18+00:00|0|Twitter Web App|@Kratos181978 @EAristeguieta Son d lo último, x q no dijo q guaidó no fue a la casa blanca mandó a la loca d la mujer|female|d último x q dijo q guaidó casa blanca mandó loca d mujer
97|Betta_CZ|2022-07-05 23:57:17+00:00|1|Twitter for iPhone|@ladrondestino01 Préstame a tu mujer q a mi no me está dando resultados|female|préstame mujer q dando resultados
98|attente68|2022-07-05 23:57:17+00:00|0|Twitter for Android|@rosaheernandezz @ander14_g Mujer, ETA, sí...|female|g mujer eta
99|luci_chuard10|2022-07-05 23:57:15+00:00|0|Twitter for Android|@adrijc16 @gonzzalez_2 @aleexisvh Me salio ambos y soy una mujer|female|2 salio ambos mujer
100|pazreyes14|2022-07-05 23:57:13+00:00|0|Twitter for Android|Locamente enamorada de esta mujer https://t.co/jcs716eXy2|female|locamente enamorada mujer
101|laniniia|2022-07-05 23:57:12+00:00|3|Twitter for iPhone|@lichy_88 Antes de leer pensé que era una mujer jaja|female|88 leer pensé mujer jaja
102|eduardo22iuli|2022-07-05 23:57:09+00:00|1|Twitter Web App|"Ser bella es solo un detalle
ser valiente es tu fortaleza.
observan el pliegue de tu talle
les cuesta percibir tu destreza
de madre, de trabajadora 
de estar atenta de tus retoños
sin dejar de ser mujer luchadora
sabes del placer, pero con los años
eres más realista que soñadora"|female|ser bella solo detalle ser valiente fortaleza observan pliegue talle cuesta percibir destreza madre trabajadora atenta retoños dejar ser mujer luchadora sabes placer años realista soñadora
103|MVanRompaey|2022-07-05 23:57:09+00:00|3|Twitter Web App|@pugliainvita me encantó lo que dijiste sobre la importancia de revalorizar el acto de cocinar y que no es un tema de tiempo ni exclusivo de la mujer.  Es así y ojalá la gente pudiera aprender a manejarse para comer mejor en casa 👏|female|encantó dijiste importancia revalorizar acto cocinar tema tiempo exclusivo mujer así ojalá gente pudiera aprender manejarse comer mejor casa
