|User|Date Created|Number of Likes|Source of Tweet|Tweet|gender|text_clean
73|guerradetronos2|2022-07-05 23:57:37+00:00|10|Twitter Web App|@Marlen02778897 CLARISIMA.....no hay  mas inseguridad  en  un hombre  que  estar  con  una  mujer  segura  de  si  misma....les  tiembla  el  piso  con eso....💕🤗🙏...pero  creo  que  no  es  cuestion  de  edad es  de  AMOR PROPIO..|male|clarisima mas inseguridad hombre mujer segura si misma tiembla piso creo cuestion edad amor propio
74|ClaudioKahanof2|2022-07-05 23:57:32+00:00|0|Twitter for iPhone|@babyaetchecopar Te  acordas  lo que decís este este pobre hombre que en su vida trabajo no vamos a devaluar -pobreza cero -el mejor equipo de los últimos 50 años no vamos aumentar 3.000% hace memoria Baby todos mienten esto no lo arregla nadie y ustedes todos mentirosos|male|acordas decís pobre hombre vida trabajo vamos devaluar pobreza cero mejor equipo últimos 50 años vamos aumentar 3 000 hace memoria baby mienten arregla nadie ustedes mentirosos
75|arkangels1968|2022-07-05 23:57:31+00:00|1|Twitter Web App|@chijetazo No hable más buen hombre, usted es igual de mufa que el princeso. Deje nomás por ahí.|male|hable buen hombre usted igual mufa princeso deje nomás ahí
76|01bcc52941b74ea|2022-07-05 23:57:29+00:00|7|Twitter for Android|"Espero que Marta a no abra los ojos y se de cuenta de que clase de hombre es Kiko Matamoros.
#TierraDeNadie10 https://t.co/IRvqEkSq2p"|male|espero marta abra ojos cuenta clase hombre kiko matamoros tierradenadie10
77|NaidelysSarduy|2022-07-05 23:57:28+00:00|4|Twitter for iPhone|@unpoetaahi Seguro , el comunismo es un mecanismo de demonios , la explotación del hombre por el hambre.|male|seguro comunismo mecanismo demonios explotación hombre hambre
78|ldhnoticias|2022-07-05 23:57:28+00:00|0|TweetDeck|"El hombre fue acusado de robar diversos productos del negocio ubicado en la Reserva Territorial Atlixcáyotl

https://t.co/fNnYPuFjB2"|male|hombre acusado robar diversos productos negocio ubicado reserva territorial atlixcáyotl
79|MartnCabezon|2022-07-05 23:57:24+00:00|0|Twitter for Android|Ezequiel, 25-17: El camino del hombre recto está por todos lados rodeado por la avaricia de los egoístas y la tiranía de los hombres malos. @PLinero #señorpresidentesolucione https://t.co/40DxAu7Z5r|male|ezequiel 2517 camino hombre recto lados rodeado avaricia egoístas tiranía hombres malos señorpresidentesolucione
80|20Flequi|2022-07-05 23:57:23+00:00|2|Twitter for Android|@Deadara19 DIREMOS LO QUE QUERAMOS QUE PARA ESO HAS PUESTO UNA PUÑETERA ENCUESTA! HOMBRE YA!! SINO NO LA PONGAS !|male|diremos queramos puesto puñetera encuesta hombre sino pongas
81|PR0DJKJ|2022-07-05 23:57:22+00:00|0|Twitter for Android|Hermanas jaebom es demasiado atractivo, lo veo cuando actualiza en ig y esque señor que hombre|male|hermanas jaebom demasiado atractivo veo actualiza ig esque señor hombre
82|Kylenight18|2022-07-05 23:57:21+00:00|0|Twitter for Android|@peaachryy Q wapo ese hombre|male|q wapo hombre
83|jiminsilyy|2022-07-05 23:57:21+00:00|2|Twitter for iPhone|yo cada día confirmo más mi enamoramiento por jungkook NKDKD este hombre me esta haciendo caer brigido  https://t.co/GIf6zGwMZW|male|cada día confirmo enamoramiento jungkook nkdkd hombre haciendo caer brigido
84|alvs_2611|2022-07-05 23:57:19+00:00|5|Twitter for Android|Así se ha de ver más o menos el hombre de mis sueños... https://t.co/E9gIYkY5HS|male|así ver menos hombre sueños
85|geocentrista|2022-07-05 23:57:16+00:00|3|Twitter Web App|Hoy mientras entrenaba en el parque de mi barrio una adolescente me miraba de forma recurrente y lasciva. Pero como soy hombre no podría denunciarla por acoso.|male|hoy mientras entrenaba parque barrio adolescente miraba forma recurrente lasciva hombre podría denunciarla acoso
86|_maryygg|2022-07-05 23:57:15+00:00|1|Twitter for Android|@MrTilleria El hombre más importante del país, junto a Boric y Jackson|male|hombre importante país junto boric jackson
87|TequilaFMRadio|2022-07-05 23:57:15+00:00|0|SAM Broadcaster Song Info|#nowplaying Los Huracanes  Del Norte - El Hombre De Negro .::: @TequilaFMRadio::.|male|nowplaying huracanes norte hombre negro
88|Angel_RMA_|2022-07-05 23:57:09+00:00|0|Twitter for Android|@manuuguess @1sar1m @wiizzIe_ Si hombre, si padreas más, explotas|male|si hombre si padreas explotas
89|TOPGAMING43|2022-07-05 23:57:07+00:00|0|WordPress.com|Wrangler Authentics Chaqueta de franela acolchada de manga larga con capucha para hombre https://t.co/u0Zh8DjyGH|male|wrangler authentics chaqueta franela acolchada manga larga capucha hombre
90|brigit_fh|2022-07-05 23:57:06+00:00|0|Twitter for iPhone|@cusa83 @RosarioMohedano Hombre… un poquito si y a sus padres… que duelen más que a uno|male|hombre poquito si padres duelen
91|Okla_Hombre|2022-07-05 23:57:02+00:00|0|Twitter for Android|And masculinity is nowhere to be found https://t.co/3JN5GxRLZp|male|and masculinity is nowhere to be found
92|JuanfranJF98|2022-07-05 23:56:58+00:00|1|Twitter for Android|@Victormmartin @elxokas Manda narices, Víctor. Este hombre no está muy bien de la azotea. A la vista está de sus actos😅|male|manda narices víctor hombre bien azotea vista actos
93|pbraxs|2022-07-05 23:56:57+00:00|0|Twitter for Android|@alfredocornejo @CFKArgentina Tu fantasia ya se cayo, se hombre y no sigas mintiendo por que das vergüenza a tu familia, pobre sos muy mediocre.|male|fantasia cayo hombre sigas mintiendo das vergüenza familia pobre sos mediocre
94|yo__90__|2022-07-05 23:56:57+00:00|1|Twitter for iPhone|Un hombre con taco alto q mata pasiones #CompaniaTvMas|male|hombre taco alto q mata pasiones companiatvmas
95|PinedaVal20|2022-07-05 23:56:57+00:00|3|Twitter for Android|@frangonza22 Si este hombre esta bailando en momentos asi es por que todavia tenemos salida🤍(rayito de esperanza)|male|si hombre bailando momentos asi todavia salida rayito esperanza
96|JlopezgzaJw|2022-07-05 23:56:56+00:00|0|Twitter Web App|"""Proverbios 3:13 Dichoso el hombre que ha encontrado la sabiduría  y el hombre que alcanza la prudencia; 
""#Biblia https://t.co/xsXdo41P1o"|male|proverbios 3 13 dichoso hombre encontrado sabiduría hombre alcanza prudencia biblia
97|teleiguana|2022-07-05 23:56:54+00:00|1|Twitter Web App|"📢Simuló un robo: Detienen a hombre de 83 años por matar a su esposa en #Aragua

📸 VEA LA FOTO ACÁ ⬇️
https://t.co/JWW6wxndgK"|male|simuló robo detienen hombre 83 años matar esposa aragua vea foto acá
98|ixziandra|2022-07-05 23:56:50+00:00|0|Twitter for Android|@AratakiTheOne @Vlen707 @eXtas1stv Me matas el chiste hombre, los españoles dicen literal espiderman, asi como esta escrito. Deberas deberítas|male|matas chiste hombre españoles dicen literal espiderman asi escrito deberas deberítas
99|yamila_corro|2022-07-05 23:56:48+00:00|23|Twitter for Android|"Lxs hijxs se enferman,las madres cuidan,no salen a ningún lado
Mientras el hombre revolea las bolas por todos lados porque no sirve pa nada"|male|lxs hijxs enferman madres cuidan salen ningún lado mientras hombre revolea bolas lados sirve pa
